📊 Circuit Breaker 실시간 메트릭 수집 시작
🔗 Target: T1 localhost:8080/api/circuit-breaker/status
📈 실시간 메트릭 수집 시작 (5초 간격)
[2025-08-20 21:05:28] State: CLOSED | Failures: 0 | Requests: 127 | Success: 100.00% | Avg: 4.50ms
[2025-08-20 21:05:33] State: CLOSED | Failures: 0 | Requests: 127 | Success: 100.00% | Avg: 4.50ms
[2025-08-20 21:05:38] State: CLOSED | Failures: 0 | Requests: 127 | Success: 100.00% | Avg: 4.50ms
[2025-08-20 21:05:43] State: CLOSED | Failures: 0 | Requests: 128 | Success: 100.00% | Avg: 4.49ms
[2025-08-20 21:05:48] State: CLOSED | Failures: 0 | Requests: 128 | Success: 100.00% | Avg: 4.49ms
[2025-08-20 21:05:53] State: CLOSED | Failures: 0 | Requests: 128 | Success: 100.00% | Avg: 4.49ms
[2025-08-20 21:05:58] State: CLOSED | Failures: 0 | Requests: 129 | Success: 100.00% | Avg: 4.47ms
[2025-08-20 21:06:03] State: CLOSED | Failures: 0 | Requests: 129 | Success: 100.00% | Avg: 4.47ms
[2025-08-20 21:06:08] State: CLOSED | Failures: 0 | Requests: 129 | Success: 100.00% | Avg: 4.47ms
[2025-08-20 21:06:13] State: CLOSED | Failures: 0 | Requests: 130 | Success: 100.00% | Avg: 4.45ms
[2025-08-20 21:06:18] State: CLOSED | Failures: 0 | Requests: 130 | Success: 100.00% | Avg: 4.45ms
[2025-08-20 21:06:23] State: CLOSED | Failures: 0 | Requests: 130 | Success: 100.00% | Avg: 4.45ms
[2025-08-20 21:06:28] State: CLOSED | Failures: 0 | Requests: 131 | Success: 100.00% | Avg: 4.44ms
[2025-08-20 21:06:33] State: CLOSED | Failures: 0 | Requests: 131 | Success: 100.00% | Avg: 4.44ms
[2025-08-20 21:06:38] State: CLOSED | Failures: 0 | Requests: 131 | Success: 100.00% | Avg: 4.44ms
[2025-08-20 21:06:43] State: CLOSED | Failures: 0 | Requests: 132 | Success: 100.00% | Avg: 4.43ms
[2025-08-20 21:06:48] State: CLOSED | Failures: 0 | Requests: 132 | Success: 100.00% | Avg: 4.43ms
[2025-08-20 21:06:53] State: CLOSED | Failures: 0 | Requests: 132 | Success: 100.00% | Avg: 4.43ms
[2025-08-20 21:06:58] State: CLOSED | Failures: 0 | Requests: 133 | Success: 100.00% | Avg: 4.41ms
[2025-08-20 21:07:03] State: CLOSED | Failures: 0 | Requests: 133 | Success: 100.00% | Avg: 4.41ms
[2025-08-20 21:07:08] State: CLOSED | Failures: 0 | Requests: 133 | Success: 100.00% | Avg: 4.41ms
[2025-08-20 21:07:13] State: CLOSED | Failures: 0 | Requests: 134 | Success: 100.00% | Avg: 4.40ms
[2025-08-20 21:07:18] State: CLOSED | Failures: 0 | Requests: 134 | Success: 100.00% | Avg: 4.40ms
[2025-08-20 21:07:23] State: CLOSED | Failures: 0 | Requests: 134 | Success: 100.00% | Avg: 4.40ms
[2025-08-20 21:07:28] State: CLOSED | Failures: 0 | Requests: 135 | Success: 100.00% | Avg: 4.39ms
[2025-08-20 21:07:33] State: CLOSED | Failures: 0 | Requests: 135 | Success: 100.00% | Avg: 4.39ms
[2025-08-20 21:07:38] State: CLOSED | Failures: 0 | Requests: 135 | Success: 100.00% | Avg: 4.39ms
[2025-08-20 21:07:44] State: CLOSED | Failures: 0 | Requests: 136 | Success: 100.00% | Avg: 4.37ms
[2025-08-20 21:07:49] State: CLOSED | Failures: 0 | Requests: 136 | Success: 100.00% | Avg: 4.37ms
[2025-08-20 21:07:54] State: CLOSED | Failures: 0 | Requests: 136 | Success: 100.00% | Avg: 4.37ms
[2025-08-20 21:07:59] State: CLOSED | Failures: 0 | Requests: 137 | Success: 100.00% | Avg: 4.36ms
[2025-08-20 21:08:04] State: CLOSED | Failures: 0 | Requests: 137 | Success: 100.00% | Avg: 4.36ms
[2025-08-20 21:08:09] State: CLOSED | Failures: 0 | Requests: 137 | Success: 100.00% | Avg: 4.36ms
[2025-08-20 21:08:14] State: CLOSED | Failures: 0 | Requests: 138 | Success: 100.00% | Avg: 4.35ms
[2025-08-20 21:08:19] State: CLOSED | Failures: 0 | Requests: 138 | Success: 100.00% | Avg: 4.35ms
[2025-08-20 21:08:24] State: CLOSED | Failures: 0 | Requests: 138 | Success: 100.00% | Avg: 4.35ms
[2025-08-20 21:08:29] State: CLOSED | Failures: 0 | Requests: 139 | Success: 100.00% | Avg: 4.33ms
[2025-08-20 21:08:34] State: CLOSED | Failures: 0 | Requests: 139 | Success: 100.00% | Avg: 4.33ms
[2025-08-20 21:08:39] State: CLOSED | Failures: 0 | Requests: 139 | Success: 100.00% | Avg: 4.33ms
[2025-08-20 21:08:44] State: CLOSED | Failures: 0 | Requests: 140 | Success: 100.00% | Avg: 4.32ms
[2025-08-20 21:08:49] State: CLOSED | Failures: 0 | Requests: 140 | Success: 100.00% | Avg: 4.32ms
[2025-08-20 21:08:54] State: CLOSED | Failures: 0 | Requests: 140 | Success: 100.00% | Avg: 4.32ms
[2025-08-20 21:08:59] State: CLOSED | Failures: 0 | Requests: 141 | Success: 100.00% | Avg: 4.30ms
[2025-08-20 21:09:04] State: CLOSED | Failures: 0 | Requests: 141 | Success: 100.00% | Avg: 4.30ms
[2025-08-20 21:09:09] State: CLOSED | Failures: 0 | Requests: 142 | Success: 100.00% | Avg: 4.28ms
[2025-08-20 21:09:14] State: CLOSED | Failures: 0 | Requests: 142 | Success: 100.00% | Avg: 4.28ms
[2025-08-20 21:09:19] State: CLOSED | Failures: 0 | Requests: 142 | Success: 100.00% | Avg: 4.28ms
[2025-08-20 21:09:24] State: CLOSED | Failures: 0 | Requests: 143 | Success: 100.00% | Avg: 4.26ms
[2025-08-20 21:09:29] State: CLOSED | Failures: 0 | Requests: 143 | Success: 100.00% | Avg: 4.26ms
[2025-08-20 21:09:34] State: CLOSED | Failures: 0 | Requests: 143 | Success: 100.00% | Avg: 4.26ms
[2025-08-20 21:09:39] State: CLOSED | Failures: 0 | Requests: 144 | Success: 100.00% | Avg: 4.24ms
[2025-08-20 21:09:44] State: CLOSED | Failures: 0 | Requests: 144 | Success: 100.00% | Avg: 4.24ms
[2025-08-20 21:09:49] State: CLOSED | Failures: 0 | Requests: 144 | Success: 100.00% | Avg: 4.24ms
[2025-08-20 21:09:54] State: CLOSED | Failures: 0 | Requests: 145 | Success: 100.00% | Avg: 4.22ms
[2025-08-20 21:10:00] State: CLOSED | Failures: 0 | Requests: 145 | Success: 100.00% | Avg: 4.22ms
[2025-08-20 21:10:05] State: CLOSED | Failures: 0 | Requests: 145 | Success: 100.00% | Avg: 4.22ms
